IATA,ICAO,Airport,Location,Timezone,Season
AFT,AGAF,Afutara Airport,"Afutara, Malaita, Solomon Islands",UTC+11:00,
RNA,AGAR,Ulawa Airport,"Arona, Ulawa Island, Solomon Islands",,
ATD,AGAT,Uru Harbour Airport,"Atoifi, Malaita, Solomon Islands",UTC+11:00,
VEV,AGBA,Barakoma Airport[1],"Barakoma, Solomon Islands",,
BPF,AGBT,Batuna Airport,"Batuna, Solomon Islands",UTC+11:00,
GEF,AGEV,Geva Airport,"Liangai, Vella Lavella, Solomon Islands",UTC+11:00,
AKS,AGGA,Auki Gwaunaru'u Airport,"Auki, Malaita, Solomon Islands",UTC+11:00,
BNY,AGGB,Bellona/Anua Airport,"Bellona Island, Rennell and Bellona, Solomon Islands",UTC+11:00,
CHY,AGGC,Choiseul Bay Airport,"Choiseul Bay, Taro Island, Solomon Islands",UTC+11:00,
BAS,AGGE,Balalae Airport,"Balalae Island, Western, Solomon Islands",UTC+11:00,
FRE,AGGF,Fera Airport (Fera/Maringe Airport),"Fera Island, Isabel Province, Solomon Islands",UTC+11:00,
HIR,AGGH,Honiara International Airport,"Honiara, Guadalcanal, Solomon Islands",UTC+11:00,
MBU,AGGI,Mbambanakira Airport,"Mbambanakira, Solomon Islands",UTC+11:00,
AVU,AGGJ,Avu Avu Airport,"Avu Avu, Guadalcanal, Solomon Islands",UTC+11:00,
IRA,AGGK,Kirakira Airport (Ngorangora Airstrip),"Kirakira, Makira Island, Solomon Islands",UTC+11:00,
SCZ,AGGL,Santa Cruz/Graciosa Bay/Luova Airport[1],"Santa Cruz Islands, Solomon Islands",,
MUA,AGGM,Munda Airport,"Munda, New Georgia, Solomon Islands",UTC+11:00,
GZO,AGGN,Nusatupe Airport,"Gizo, Western Province, Solomon Islands",UTC+11:00,
MNY,AGGO,Mono Airport,"Mono Island, Treasury Islands, Solomon Islands",UTC+11:00,
PRS,AGGP,Parasi Airport[1],"Parasi, Solomon Islands",,
OTV,AGGQ,Ontong Java Airport[1],"Ontong Java Atoll, Solomon Islands",,
RNL,AGGR,Rennell/Tingoa Airport[1],"Rennell Island, Solomon Islands",,
EGM,AGGS,Seghe Airport,"Seghe, Western Province, Solomon Islands",UTC+11:00,
NNB,AGGT,Santa Ana Airport[1],"Santa Ana Island (Owaraha), Solomon Islands",,
RUS,AGGU,Marau Airport,"Marau, Solomon Islands",,
VAO,AGGV,Suavanao Airport[1],"Suavanao, Solomon Islands",,
XYA,AGGY,Yandina Airport,"Yandina, Solomon Islands",,
JJA,AGJO[2],Jajao Airport[1],"Jajao, Isabel Province, Solomon Islands",UTC+11:00,
KGE,AGKG,Kaghau Airport,"Kaghau Island, Solomon Islands",UTC+11:00,
KUE,AGKU,Kukundu Airport,"Kolombangara, Western Province, Solomon Islands",UTC+11:00,
KWS,AGKW[3],Kwailabesi Airport,"Kwailabesi, Solomon Islands",UTC+11:00,
NAZ,AGNA,Nana Airport[1],"Star Harbour, Solomon Islands",,
GTA,AGOK,Gatokae Aerodrome,"Gatokae, Solomon Islands",UTC+11:00,
RIN,AGRC,Ringgi Cove Airport[1],"Ringgi Cove, Solomon Islands",,
RBV,AGRM,Ramata Airport[1],"Ramata Island, Solomon Islands",,
TLG,AGTI,Tulaghi Heliport[1],"Tulagi, Solomon Islands",,
INU,ANYN,Nauru International Airport,"Yaren, Nauru",UTC+12:00,
NOM,ATNR,Nomad River Airport[1],"Nomad River, Papua New Guinea",,
AMF,AYAA,Ama Airport,"Ama, Papua New Guinea",UTC+10:00,
AFR,AYAF,Afore Airport,"Afore, Papua New Guinea",UTC+10:00,
AUP,AYAG,Agaun Airport,"Agaun, Papua New Guinea",UTC+10:00,
ATP,AYAI,Aitape Airstrip,"Aitape, Papua New Guinea",UTC+10:00,
AIH,AYAK,Aiambak Airport,"Aiambak, Papua New Guinea",UTC+10:00,
AMU,AYAM,Amanab Airport,"Amanab, Papua New Guinea",UTC+10:00,
ADC,AYAN,Andakombe Airport,"Andakombe, Papua New Guinea",UTC+10:00,
AIE,AYAO,Aiome Airport,"Aiome, Papua New Guinea",UTC+10:00,
KPM,AYAQ,Kompiam Airport,"Kompiam, Papua New Guinea",UTC+10:00,
AUJ,AYAT,Ambunti Airport,"Ambunti, Papua New Guinea",UTC+10:00,
AWB,AYAW,Awaba Airport,"Awaba, Papua New Guinea",UTC+10:00,
AEK,AYAX,Aseki Airport,"Aseki, Papua New Guinea",UTC+10:00,
AYU,AYAY,Aiyura Airport,"Aiyura, Papua New Guinea",UTC+10:00,
VMU,AYBA,Baimuru Airport,"Baimuru, Papua New Guinea",,
BCP,AYBC,Bambu Airport,"Bambu, Papua New Guinea",UTC+10:00,
BNM,AYBD,Bodinumu Airport,"Bodinumu, Papua New Guinea",UTC+10:00,
BMZ,AYBF,Bamu Airport,"Bamu, Papua New Guinea",UTC+10:00,
BDZ,AYBG,Baindoung Airport,"Baindoung, Papua New Guinea",UTC+10:00,
BSP,AYBH,Bensbach Airport,"Bensbach, Papua New Guinea",UTC+10:00,
BWP,AYBI,Bewani Airport,"Bewani, Papua New Guinea",UTC+10:00,
BUA,AYBK,Buka Island Airport,"Buka Island, Papua New Guinea",UTC+11:00,
BAA,AYBL,Bialla Airport,"Bialla, Papua New Guinea",UTC+10:00,
OPU,AYBM,Balimo Airport[1],"Balimo, Papua New Guinea",,
BMH,AYBO,Bomai Airport,"Bomai, Papua New Guinea",UTC+10:00,
BPD,AYBP,Bapi Airport,"Bapi, Papua New Guinea",UTC+10:00,
BPK,AYBQ,Biangabip Airport,"Biangabip, Papua New Guinea",UTC+10:00,
BRP,AYBR,Biaru Airport,"Biaru, Papua New Guinea",UTC+10:00,
BUL,AYBU,Bulolo Airport,"Bulolo, Papua New Guinea",UTC+10:00,
CVB,AYCB,Chungrebu Airport,"Chungrebu, Papua New Guinea",UTC+10:00,
CGC,AYCG,Cape Gloucester Airport,"Cape Gloucester, Papua New Guinea",UTC+10:00,
CMU,AYCH,Chimbu Airport,"Kundiawa, Papua New Guinea",UTC+10:00,
DBP,AYDB,Debepare Airport,"Debepare, Papua New Guinea",UTC+10:00,
DER,AYDE,Derim Airport,"Derim, Papua New Guinea",UTC+10:00,
BNT,AYDI,Bundi Airport,"Bundi, Papua New Guinea",UTC+10:00,
KPF,AYDL,Kondubol Airport,"Kondubol, Papua New Guinea",UTC+10:00,
DNU,AYDN,Dinangat Airport,"Dinangat, Papua New Guinea",UTC+10:00,
DOI,AYDO,Doini Island Airport,"Doini Island, Papua New Guinea",UTC+10:00,
DOO,AYDR,Dorobisoro Airstrip,"Dorobisoro, Papua New Guinea",UTC+10:00,
DAU,AYDU,Daru Airport,"Daru, Papua New Guinea",UTC+10:00,
KRU,AYEA,Kerau Airport,"Kerau, Papua New Guinea",UTC+10:00,
EMS,AYEB,Embessa Airport,"Embessa, Papua New Guinea",UTC+10:00,
XYR,AYED,Edwaki Airport[1],"Yellow River, Papua New Guinea",,
EMI,AYEE,Emirau Airport,"Emirau Island, Papua New Guinea",UTC+10:00,
EFG,AYEF,Efogi Airport,"Efogi, Papua New Guinea",UTC+10:00,
EPT,AYEL,Eliptamin Airport,"Eliptamin, Papua New Guinea",UTC+10:00,
EGA,AYEN,Engati Airport,"Engati, Papua New Guinea",UTC+10:00,
EMO,AYEO,Emo Airport,"Emo, Papua New Guinea",UTC+10:00,
ERU,AYER,Erume Airport,"Erume, Papua New Guinea",UTC+10:00,
BOT,AYET,Bosset Airport,"Bosset, Papua New Guinea",UTC+10:00,
ERE,AYEV,Erave Airport,"Erave, Papua New Guinea",UTC+10:00,
FNE,AYFA,Fane Airport,"Fane, Papua New Guinea",UTC+10:00,
FRQ,AYFE,Feramin Airport,"Feramin, Papua New Guinea",UTC+10:00,
FIN,AYFI,Finschhafen Airport,"Finschhafen, Papua New Guinea",UTC+10:00,
FAQ,AYFR,Frieda River Airport,"Frieda River, Papua New Guinea",UTC+10:00,
